system:index,has_data,has_time,mean_LST,timestamp,.geo
2000_12_04,35.8619469046832,9.75888E11,35.8619469046832,9.75888E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_05,42.77439078012622,9.759744E11,42.77439078012622,9.759744E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_07,43.71083216854303,9.761472E11,43.71083216854303,9.761472E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_08,38.27249593998919,9.762336E11,38.27249593998919,9.762336E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_09,41.50203688202244,9.7632E11,41.50203688202244,9.7632E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_10,42.879368779159584,9.764064E11,42.879368779159584,9.764064E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_11,38.8122980817714,9.764928E11,38.8122980817714,9.764928E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_19,34.06238452213967,9.77184E11,34.06238452213967,9.77184E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_20,33.23904765665225,9.772704E11,33.23904765665225,9.772704E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_21,36.432620620759884,9.773568E11,36.432620620759884,9.773568E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_23,36.072275528544395,9.775296E11,36.072275528544395,9.775296E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_25,34.80611866939166,9.777024E11,34.80611866939166,9.777024E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_26,31.110078584608754,9.777888E11,31.110078584608754,9.777888E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_27,29.089484215206788,9.778752E11,29.089484215206788,9.778752E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_28,33.165070970812764,9.779616E11,33.165070970812764,9.779616E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_31,32.36633262607019,9.782208E11,32.36633262607019,9.782208E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01,36.76630004706588,9.783072E11,36.76630004706588,9.783072E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_02,33.47270487116879,9.783936E11,33.47270487116879,9.783936E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_03,33.3891589502881,9.7848E11,33.3891589502881,9.7848E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_06,35.739808952408865,9.787392E11,35.739808952408865,9.787392E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_08,38.031206404760916,9.78912E11,38.031206404760916,9.78912E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_09,34.02548732595507,9.789984E11,34.02548732595507,9.789984E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_15,32.55303375874158,9.795168E11,32.55303375874158,9.795168E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_17,35.948155519826145,9.796896E11,35.948155519826145,9.796896E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_19,32.90804471240099,9.798624E11,32.90804471240099,9.798624E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_20,36.452058267025095,9.799488E11,36.452058267025095,9.799488E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_22,36.9883757978968,9.801216E11,36.9883757978968,9.801216E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_24,37.93719711160315,9.802944E11,37.93719711160315,9.802944E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_25,32.174000000000035,9.803808E11,32.174000000000035,9.803808E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_26,35.70924371460277,9.804672E11,35.70924371460277,9.804672E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_27,29.25707415990733,9.805536E11,29.25707415990733,9.805536E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_28,31.014576047819627,9.8064E11,31.014576047819627,9.8064E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_29,36.526631972632295,9.807264E11,36.526631972632295,9.807264E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_30,30.17060691601977,9.808128E11,30.17060691601977,9.808128E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_31,33.162620038729564,9.808992E11,33.162620038729564,9.808992E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_05,33.05107000824445,9.813312E11,33.05107000824445,9.813312E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_06,30.27421812127101,9.814176E11,30.27421812127101,9.814176E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_07,38.30117459272876,9.81504E11,38.30117459272876,9.81504E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_09,38.276044298360844,9.816768E11,38.276044298360844,9.816768E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_10,35.78853558533939,9.817632E11,35.78853558533939,9.817632E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_11,37.00640014568412,9.818496E11,37.00640014568412,9.818496E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_14,36.47727774200354,9.821088E11,36.47727774200354,9.821088E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_16,40.86351457470334,9.822816E11,40.86351457470334,9.822816E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_17,35.955017433795376,9.82368E11,35.955017433795376,9.82368E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_19,31.234767381974272,9.825408E11,31.234767381974272,9.825408E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_20,35.504098390212526,9.826272E11,35.504098390212526,9.826272E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_21,37.96226037958009,9.827136E11,37.96226037958009,9.827136E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_23,38.7104294322421,9.828864E11,38.7104294322421,9.828864E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_25,40.55241899446052,9.830592E11,40.55241899446052,9.830592E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_02,33.25001190476193,9.834912E11,33.25001190476193,9.834912E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_04,36.893608099681714,9.83664E11,36.893608099681714,9.83664E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_05,34.84838255858305,9.837504E11,34.84838255858305,9.837504E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06,37.219662899052935,9.838368E11,37.219662899052935,9.838368E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_07,36.27733328696702,9.839232E11,36.27733328696702,9.839232E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_11,29.298785310734484,9.842688E11,29.298785310734484,9.842688E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_17,28.95737187437482,9.847872E11,28.95737187437482,9.847872E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_20,26.64916373363371,9.850464E11,26.64916373363371,9.850464E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_22,27.66508644729506,9.852192E11,27.66508644729506,9.852192E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_23,29.120000000000033,9.853056E11,29.120000000000033,9.853056E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_24,30.058865899409557,9.85392E11,30.058865899409557,9.85392E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_25,30.60459400714178,9.854784E11,30.60459400714178,9.854784E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_26,28.440576919044016,9.855648E11,28.440576919044016,9.855648E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_27,31.271511665367672,9.856512E11,31.271511665367672,9.856512E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_03,27.968731438642923,9.86256E11,27.968731438642923,9.86256E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_05,30.99348733890212,9.864288E11,30.99348733890212,9.864288E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_08,30.732152065333658,9.86688E11,30.732152065333658,9.86688E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_09,29.332900154970144,9.867744E11,29.332900154970144,9.867744E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_10,32.350737847493555,9.868608E11,32.350737847493555,9.868608E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_12,32.58945445689239,9.870336E11,32.58945445689239,9.870336E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_14,34.652391203403965,9.872064E11,34.652391203403965,9.872064E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_16,32.72320793709175,9.873792E11,32.72320793709175,9.873792E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_17,29.101063829787265,9.874656E11,29.101063829787265,9.874656E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_21,30.01186592917106,9.878112E11,30.01186592917106,9.878112E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_23,33.79328236100541,9.87984E11,33.79328236100541,9.87984E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_25,28.27000000000004,9.881568E11,28.27000000000004,9.881568E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_26,33.72214659685865,9.882432E11,33.72214659685865,9.882432E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_30,33.367688723206,9.885888E11,33.367688723206,9.885888E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_02,32.457848027584056,9.887616E11,32.457848027584056,9.887616E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_04,32.66650119559216,9.889344E11,32.66650119559216,9.889344E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_05,33.21112273732256,9.890208E11,33.21112273732256,9.890208E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_07,36.84932667249996,9.891936E11,36.84932667249996,9.891936E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_09,34.40732391487846,9.893664E11,34.40732391487846,9.893664E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_11,33.17926057255835,9.895392E11,33.17926057255835,9.895392E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_12,35.100421058133975,9.896256E11,35.100421058133975,9.896256E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_13,30.11096184373359,9.89712E11,30.11096184373359,9.89712E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_14,37.07687952693973,9.897984E11,37.07687952693973,9.897984E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_16,34.50972770939033,9.899712E11,34.50972770939033,9.899712E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_17,34.352632661248265,9.900576E11,34.352632661248265,9.900576E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_18,35.65161489937676,9.90144E11,35.65161489937676,9.90144E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_19,37.51429879618544,9.902304E11,37.51429879618544,9.902304E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_21,35.89527935392456,9.904032E11,35.89527935392456,9.904032E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_23,34.887249128722885,9.90576E11,34.887249128722885,9.90576E11,"{""type"":""MultiPoint"",""coordinates"":[]}"
